partido,palabra,n
ADN,libertad,19
ADN,nacional,17
ADN,democrática,16
ADN,nacionalista,11
ADN,progreso,11
ADN,accion,10
ADN,política,10
ADN,manera,9
ADN,plan,9
ADN,principio,9
CC,gobierno,84
CC,programa,75
CC,desarrollo,73
CC,servicios,64
CC,salud,59
CC,sistema,57
CC,economía,52
CC,nacional,52
CC,centros,51
CC,calidad,47
CREEMOS,propone,166
CREEMOS,nacional,114
CREEMOS,funcionamiento,84
CREEMOS,crear,74
CREEMOS,año,66
CREEMOS,desarrollo,62
CREEMOS,creer,61
CREEMOS,empresas,60
CREEMOS,públicas,51
CREEMOS,recursos,50
FPV,desarrollo,206
FPV,nacional,170
FPV,debe,138
FPV,salud,111
FPV,educación,110
FPV,social,107
FPV,diferentes,106
FPV,gobierno,93
FPV,ser,88
FPV,política,83
JUNTOS,gobierno,96
JUNTOS,desarrollo,80
JUNTOS,sistema,78
JUNTOS,política,75
JUNTOS,social,66
JUNTOS,servicios,63
JUNTOS,salud,61
JUNTOS,educación,58
JUNTOS,nacional,57
JUNTOS,oportunidades,48
Libre21,gobierno,66
Libre21,debemos,62
Libre21,años,58
Libre21,ser,53
Libre21,manera,50
Libre21,gente,49
Libre21,debe,46
Libre21,desarrollo,42
Libre21,sistema,40
Libre21,recursos,35
MAS-IPSP,población,75
MAS-IPSP,vida,66
MAS-IPSP,salud,64
MAS-IPSP,desarrollo,63
MAS-IPSP,producción,61
MAS-IPSP,millones,58
MAS-IPSP,recursos,54
MAS-IPSP,social,53
MAS-IPSP,nacional,50
MAS-IPSP,acceso,49
PAN-BOL,educación,107
PAN-BOL,sistema,59
PAN-BOL,naturales,54
PAN-BOL,recursos,53
PAN-BOL,nacional,52
PAN-BOL,desarrollo,51
PAN-BOL,así,47
PAN-BOL,salud,47
PAN-BOL,servicios,46
PAN-BOL,social,45
